Customer_ID,Modelo,Edad,ZONA,Fuel,MOTIVO_VENTA,prob_churn,segmento_riesgo,cltv,evr,roi_intervencion,accion_recomendada,intensidad
103388,B,52,CENTRO,HÍBRIDO,No Particular,0.488057,Alto,75.87,37.03,14.079,Email/SMS + Descuento servicio,Media
104463,D,45,CENTRO,HÍBRIDO,Particular,0.058412,Medio,328.01,19.16,6.607,Email personalizado + Descuento bajo riesgo,Media
104731,A,41,CENTRO,HÍBRIDO,Particular,0.712595,Alto,24.21,17.25,6.901,Email/SMS informativo,Media
102250,I,74,SUR,HÍBRIDO,Particular,0.265112,Alto,274.71,72.83,19.631,Llamada personal + Descuento flota,Alta
99832,B,32,CENTRO,HÍBRIDO,Particular,0.449113,Alto,87.07,39.1,14.868,Llamada personal + Descuento flota,Alta
105959,D,76,CENTRO,HÍBRIDO,Particular,0.012441,Bajo,377.13,4.69,1.618,Newsletter de fidelización,Baja
101126,H,51,CENTRO,HÍBRIDO,No Particular,0.073587,Medio,508.15,37.39,10.593,Email personalizado + Descuento bajo riesgo,Media
87490,I,44,ESTE,ELÉCTRICO,Particular,0.094126,Medio,473.44,44.56,12.011,Email personalizado + Descuento bajo riesgo,Media
103221,I,40,SUR,ELÉCTRICO,No Particular,0.009698,Bajo,612.59,5.94,1.601,Newsletter de fidelización,Baja
100642,A,46,CENTRO,HÍBRIDO,Particular,0.236312,Alto,139.71,33.02,13.206,Llamada personal + Descuento flota,Alta
104367,B,33,CENTRO,HÍBRIDO,Particular,0.181603,Medio,209.53,38.05,14.468,Email personalizado + Descuento bajo riesgo,Media
107439,H,24,SUR,HÍBRIDO,Particular,0.004102,Bajo,627.62,2.57,0.729,Newsletter de fidelización,Baja
108341,D,32,ESTE,HÍBRIDO,Particular,0.645903,Alto,42.69,27.57,9.507,Email/SMS + Descuento servicio,Media
105760,D,26,ESTE,HÍBRIDO,No Particular,0.457788,Alto,88.39,40.47,13.954,Llamada personal + Descuento flota,Alta
100322,J,50,CENTRO,HÍBRIDO,Particular,0.405527,Alto,-21.17,0.0,0.0,Email/SMS informativo,Media
102629,I,44,CENTRO,HÍBRIDO,Particular,0.017292,Bajo,598.73,10.35,2.791,Newsletter de fidelización,Baja
